ID,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,886.21,1145.31,1507.69,1789.2,2077.09,2377.18,2678.82,3161.66,3707.96,4315,5007.21,6033.21,6969.52,8117.78,9846.81,11115,12153.03,14113.58,16251.93,17879.4,19500.56
1,538.94,732.89,931.97,1121.93,1264.63,1374.6,1500.95,1701.88,1919.09,2150.76,2578.03,3110.97,3905.64,4462.74,5252.76,6719.01,7521.85,9224.46,11307.28,12893.88,14370.16
2,1690.84,2187.49,2849.52,3452.97,3953.78,4256.01,4514.19,5043.96,5516.76,6018.28,6921.29,8477.63,10012.11,11467.6,13607.32,16011.97,17235.48,20394.26,24515.76,26575.01,28301.41
3,680.41,826.66,1076.03,1292.11,1476,1611.08,1667.1,1845.72,2029.53,2324.8,2855.23,3571.37,4230.53,4878.61,6024.45,7315.4,7358.31,9200.86,11237.55,12112.83,12602.24
4,537.81,695.06,857.06,1023.09,1153.51,1262.54,1379.31,1539.12,1713.81,1940.94,2388.38,3041.07,3905.03,4944.25,6423.18,8496.2,9740.25,11672,14359.88,15880.58,16832.38
5,2010.82,2461.78,2793.37,3157.69,3582.46,3881.73,4171.69,4669.06,5033.08,5458.22,6002.54,6672,8047.26,9304.52,11164.3,13668.58,15212.49,18457.27,22226.7,24846.43,27077.65
6,718.58,937.73,1137.23,1346.79,1464.34,1577.05,1672.96,1951.51,2120.35,2348.54,2662.08,3122.01,3620.27,4275.12,5284.69,6426.1,7278.75,8667.58,10568.83,11939.24,12981.46
7,1198.3,1604.9,1991.4,2370.5,2667.5,2774.4,2866.3,3151.4,3390.1,3637.2,4057.4,4750.6,5513.7,6211.8,7104,8314.37,8587,10368.6,12582,13691.58,14382.93
8,1519.23,1990.86,2499.43,2957.55,3438.79,3801.09,4188.73,4771.17,5210.12,5741.03,6694.23,8072.83,9247.66,10572.24,12494.01,14069.87,15046.45,17165.98,19195.69,20181.72,21602.12
9,2998.16,4057.39,5155.25,6004.21,6680.34,7199.95,7697.82,8553.69,9456.84,10606.85,12442.87,15003.6,18598.69,21742.05,26018.48,30981.98,34457.3,41425.48,49110.27,54058.22,59161.75
10,1925.91,2689.28,3557.55,4188.53,4686.11,5052.62,5443.92,6141.03,6898.34,8003.67,9705.02,11648.7,13417.68,15718.47,18753.73,21462.69,22990.35,27722.31,32318.85,34665.33,37568.49
11,1037.14,1320.43,1810.66,2093.3,2347.32,2542.96,2712.34,2902.09,3246.71,3519.72,3923.11,4759.3,5350.17,6112.5,7360.92,8851.66,10062.82,12359.33,15300.65,17212.05,19038.87
12,1114.2,1644.39,2094.9,2484.25,2870.9,3159.91,3414.19,3764.54,4072.85,4467.55,4983.67,5763.35,6554.69,7583.85,9248.53,10823.01,12236.53,14737.12,17560.18,19701.78,21759.64
13,723.04,948.16,1169.73,1409.74,1605.77,1719.87,1853.65,2003.07,2175.68,2450.48,2807.41,3456.7,4056.76,4820.53,5800.25,6971.05,7655.18,9451.26,11702.82,12948.88,14338.5
14,2770.37,3844.5,4953.35,5883.8,6537.07,7021.35,7493.84,8337.47,9195.04,10275.5,12078.15,15021.84,18366.87,21900.19,25776.91,30933.28,33896.65,39169.92,45361.85,50013.24,54684.33
15,1660.18,2216.83,2988.37,3634.69,4041.09,4308.24,4517.94,5052.99,5533.01,6035.48,6867.7,8553.79,10587.42,12362.79,15012.46,18018.53,19480.46,23092.36,26931.03,29599.31,32155.86
